Benchmark,L1VCache HIT ratio,L2 HIT ratio,DRAM HIT ratio
aes,0.9816057363728389,0.05246807041767346,0.49996964361605245
bfs,0.9135338345864662,0.0,0.5268817204301075
bitonicsort,0.05400946858485026,0.9902860320439301,0.49924088664439936
concurrentkernel,0.3016765190425429,0.9211967779056387,0.3405097748082158
fastwalshtransform,0.1591544546200436,0.016965258156677664,0.49999275428088524
fir,0.6688303969167626,0.845364569573914,0.4169666594583593
floydwarshall,0.0440251572327044,0.7710843373493976,0.477124183006536
im2col,0.0,0.0,0.8598484848484849
kmeans,0.36585365853658536,0.7675298879436345,0.7647393757440861
matrixmultiplication,0.0,0.009523809523809525,0.45621181262729127
matrixtranspose,0.0,0.0007288629737609329,0.4999695474754857
memcopy,0,0,0.5
pagerank,0.9921875,0.2627328695930279,0.4864964658719274
relu,0.0,0.0,0.4999961857974353
stencil2d,0.28346456692913385,0.6606334841628959,0.412568306010929
xor,0.0,0.038461538461538464,0.44715447154471544
